"numero","imagenJugador","nombreJugador","posicionJugador","nacionalidadesDelJugador"
"35","https://img.a.transfermarkt.technology/portrait/medium/689837-1672190373.jpg?lm=1","Luis Gutiérrez","Extremo izquierdo","[""México"",""Estados Unidos""]"
"18","https://img.a.transfermarkt.technology/portrait/medium/769063-1695024330.jpg?lm=1","Luka Romero","Extremo derecho","[""Argentina"",""España""]"
"11","https://img.a.transfermarkt.technology/portrait/medium/234850-1709364510.jpg?lm=1","Georgios Giakoumakis","Delantero centro","[""Grecia""]"
"21","https://img.a.transfermarkt.technology/portrait/medium/259930-1583507513.jpg?lm=1","Gabriel Fernández","Delantero centro","[""Uruguay""]"
"9","https://img.a.transfermarkt.technology/portrait/medium/160700-1544359275.png?lm=1","Ángel Sepúlveda","Delantero centro","[""México""]"
"18","https://img.a.transfermarkt.technology/portrait/medium/286415-1666815446.jpg?lm=1","Pau López","Portero","[""España""]"
"22","https://img.a.transfermarkt.technology/portrait/medium/236710-1580380474.jpg?lm=1","Luis García","Portero","[""México""]"
"6","https://img.a.transfermarkt.technology/portrait/medium/671479-1683117674.JPG?lm=1","Federico Pereira","Defensa central","[""Uruguay"",""Italia""]"
"4","https://img.a.transfermarkt.technology/portrait/medium/552912-1558943297.png?lm=1","Bruno Méndez","Defensa central","[""Uruguay"",""España""]"
"13","https://img.a.transfermarkt.technology/portrait/medium/178984-1543835678.jpg?lm=1","Luan","Defensa central","[""Brasil""]"
"3","https://img.a.transfermarkt.technology/portrait/medium/107444-1564488481.png?lm=1","Antonio Briseño","Defensa central","[""México"",""España""]"
"28","https://img.a.transfermarkt.technology/portrait/medium/674500-1657792093.jpg?lm=1","Nico Carrera","Defensa central","[""Estados Unidos"",""México""]"
"25","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Everardo del Villar","Defensa central","[""México""]"
"27","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Emiliano Freyfeld","Defensa central","[""México""]"
"20","https://img.a.transfermarkt.technology/portrait/medium/344854-1668453242.jpg?lm=1","Jesús Gallardo","Lateral izquierdo","[""México""]"
"17","https://img.a.transfermarkt.technology/portrait/medium/471988-1671214577.jpg?lm=1","Brian García","Lateral derecho","[""México""]"
"2","https://img.a.transfermarkt.technology/portrait/medium/416083-1639416761.jpg?lm=1","Diego Barbosa","Lateral derecho","[""México""]"
"5","https://img.a.transfermarkt.technology/portrait/medium/833115-1724872719.JPG?lm=1","Franco Romero","Pivote","[""Argentina""]"
"198","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Víctor Arteaga","Pivote","[""México""]"
"14","https://img.a.transfermarkt.technology/portrait/medium/597728-1691602112.jpg?lm=1","Marcel Ruiz","Mediocentro","[""México""]"
"16","https://img.a.transfermarkt.technology/portrait/medium/122043-1709580597.jpg?lm=1","Héctor Herrera","Mediocentro","[""México"",""Portugal""]"
"10","https://img.a.transfermarkt.technology/portrait/medium/411709-1579697816.png?lm=1","Jesús Angulo","Mediocentro ofensivo","[""México""]"
"9","https://img.a.transfermarkt.technology/portrait/medium/424689-1666538728.jpg?lm=1","Alexis Vega","Extremo izquierdo","[""México""]"
"12","https://img.a.transfermarkt.technology/portrait/medium/668496-1733870819.jpg?lm=1","Isaías Violante","Extremo izquierdo","[""México""]"
"35","https://img.a.transfermarkt.technology/portrait/medium/804282-1676733695.jpg?lm=1","Alek Álvarez","Extremo izquierdo","[""México""]"
"11","https://img.a.transfermarkt.technology/portrait/medium/412365-1558599995.png?lm=1","Helinho","Extremo derecho","[""Brasil""]"
"7","https://img.a.transfermarkt.technology/portrait/medium/915016-1656041175.jpg?lm=1","Juan Domínguez","Extremo derecho","[""México""]"
"26","https://img.a.transfermarkt.technology/portrait/medium/211072-1612359887.jpg?lm=1","Paulinho","Delantero centro","[""Portugal""]"
"31","https://img.a.transfermarkt.technology/portrait/medium/832340-1691601933.jpg?lm=1","Robert Morales","Delantero centro","[""Paraguay""]"
"19","https://img.a.transfermarkt.technology/portrait/medium/370861-1670618683.jpg?lm=1","Iván López","Delantero centro","[""México""]"
"-","https://img.a.transfermarkt.technology/portrait/medium/320739-1702399611.jpg?lm=1","Santiago Mele","Portero","[""Uruguay"",""Italia""]"
"1","https://img.a.transfermarkt.technology/portrait/medium/105888-1463494194.JPG?lm=1","Esteban Andrada","Portero","[""Argentina""]"
"22","https://img.a.transfermarkt.technology/portrait/medium/280379-1580827417.png?lm=1","Luis Cárdenas","Portero","[""México""]"
"24","https://img.a.transfermarkt.technology/portrait/medium/540306-1670270528.jpeg?lm=1","César Ramos","Portero","[""México""]"
"4","https://img.a.transfermarkt.technology/portrait/medium/686444-1572342031.png?lm=1","Víctor Guzmán","Defensa central","[""México""]"
"13","https://img.a.transfermarkt.technology/portrait/medium/256866-1645891058.jpg?lm=1","Carlos Salcedo","Defensa central","[""México""]"
"93","https://img.a.transfermarkt.technology/portrait/medium/25557-1694502812.jpg?lm=1","Sergio Ramos","Defensa central","[""España""]"
